input,output
Rpd,Rpd
Rapids,Rpds
Rpds,Rpds
Rest,Rst
Rst,Rst
Route,Rte
Rue,Rue
Run,Run
Shl,Shl
Shoal,Shl
Shls,Shls
Shoals,Shls
Shoar,Shr
Shore,Shr
Shr,Shr
Shoars,Shrs
Shores,Shrs
Shrs,Shrs
Skyway,Skwy
Smt,Smt
Sumit,Smt
Sumitt,Smt
Summit,Smt
Spg,Spg
Spng,Spg
Spring,Spg
Sprng,Spg
Spgs,Spgs
Spngs,Spgs
Springs,Spgs
Sprngs,Spgs
Spur,Spur
Spurs,Spur
Sq,Sq
Sqr,Sq
Sqre,Sq
Squ,Sq
Square,Sq
Sqrs,Sqs
Squares,Sqs
Street,St
Strt,St
St,St
Str,St
Sta,Sta
Station,Sta
Statn,Sta
Stn,Sta
Stra,Stra
Strav,Stra
Straven,Stra
Stravenue,Stra
Stravn,Stra
Strvn,Stra
Strvnue,Stra
Stream,Strm
Streme,Strm
Strm,Strm
Streets,Sts
Ter,Ter
Terr,Ter
Terrace,Ter
Trnpk,Tpke
Turnpike,Tpke
Turnpk,Tpke
Track,Trak
Tracks,Trak
Trak,Trak
Trk,Trak
Trks,Trak
Trace,Trce
Traces,Trce
Trce,Trce
Trafficway,Trfy
Trail,Trl
Trails,Trl
Trl,Trl
Trls,Trl
Trailer,Trlr
Trlr,Trlr
Trlrs,Trlr
Throughway,Trwy
Tunel,Tunl
Tunl,Tunl
Tunls,Tunl
Tunnel,Tunl
Tunnels,Tunl
Tunnl,Tunl
Un,Un
Union,Un
Unions,Uns
Underpass,Upas
Vdct,Via
Via,Via
Viadct,Via
Viaduct,Via
Vis,Vis
Vist,Vis
Vista,Vis
Vst,Vis
Vsta,Vis
Ville,Vl
Vl,Vl
Vill,Vlg
Villag,Vlg
Village,Vlg
Villg,Vlg
Villiage,Vlg
Vlg,Vlg
Villages,Vlgs
Vlgs,Vlgs
Valley,Vly
Vally,Vly
Vlly,Vly
Vly,Vly
Valleys,Vlys
Vlys,Vlys
View,Vw
Vw,Vw
Views,Vws
Vws,Vws
Walk,Walk
Walks,Walk
Wall,Wall
Wy,Way
Way,Way
Ways,Ways
Well,Wl
Wells,Wls
Wls,Wls
Crossing,Xing
Crssng,Xing
Xing,Xing
Crossroad,Xrd
Crossroads,Xrds
